Archive_Date,Hospital_Group,Hospital_HIPE,Hospital_Name,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Day Case,Child,16-64,  3-6 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Day Case,Child,16-64,18+ Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Inpatient,Child,0-15,  0-3 Months,73
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Inpatient,Child,0-15,  3-6 Months,27
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Inpatient,Child,0-15,  6-9 Months,14
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Inpatient,Child,0-15,  9-12 Months,9
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Inpatient,Child,0-15, 12-15 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Inpatient,Child,0-15, 15-18 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Inpatient,Child,0-15,18+ Months,13
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Inpatient,Child,16-64,  0-3 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Inpatient,Child,16-64,18+ Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Day Case,Child,0-15,  0-3 Months,7
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Day Case,Child,0-15,  3-6 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Day Case,Child,0-15,  6-9 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Inpatient,Child,0-15,  0-3 Months,31
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Inpatient,Child,0-15,  3-6 Months,36
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Inpatient,Child,0-15,  6-9 Months,10
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Inpatient,Child,0-15,  9-12 Months,10
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Inpatient,Child,0-15, 12-15 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Inpatient,Child,0-15,18+ Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Inpatient,Child,16-64,18+ Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Day Case,Child,0-15,  0-3 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Day Case,Child,0-15,  3-6 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Day Case,Child,0-15,  6-9 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Inpatient,Child,0-15,  0-3 Months,3
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Inpatient,Child,0-15,  9-12 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15,  0-3 Months,90
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15,  3-6 Months,59
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15,  6-9 Months,51
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15,  9-12 Months,44
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15, 12-15 Months,20
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15, 15-18 Months,5
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15,18+ Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,16-64,  0-3 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,16-64,  3-6 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Inpatient,Child,0-15,  0-3 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Inpatient,Child,0-15,  6-9 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Inpatient,Child,0-15,  9-12 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Day Case,Child,0-15,  0-3 Months,102
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Day Case,Child,0-15,  3-6 Months,70
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Day Case,Child,0-15,  6-9 Months,39
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Day Case,Child,0-15,  9-12 Months,26
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Day Case,Child,0-15, 12-15 Months,19
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Day Case,Child,0-15, 15-18 Months,8
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Day Case,Child,0-15,18+ Months,44
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Day Case,Child,16-64,  0-3 Months,8
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Day Case,Child,16-64,  3-6 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Day Case,Child,16-64,  6-9 Months,7
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Day Case,Child,16-64,  9-12 Months,5
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Day Case,Child,16-64, 12-15 Months,3
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Day Case,Child,16-64, 15-18 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Day Case,Child,16-64,18+ Months,14
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Inpatient,Child,0-15,  0-3 Months,138
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Inpatient,Child,0-15,  3-6 Months,105
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Inpatient,Child,0-15,  6-9 Months,56
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Inpatient,Child,0-15,  9-12 Months,40
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Inpatient,Child,0-15, 12-15 Months,32
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Inpatient,Child,0-15, 15-18 Months,23
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Inpatient,Child,0-15,18+ Months,47
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Inpatient,Child,16-64,  0-3 Months,6
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Inpatient,Child,16-64,  3-6 Months,6
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Inpatient,Child,16-64,  6-9 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Inpatient,Child,16-64,  9-12 Months,3
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Inpatient,Child,16-64, 12-15 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Inpatient,Child,16-64, 15-18 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1800,Orthopaedics,Inpatient,Child,16-64,18+ Months,7
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Day Case,Child,0-15,  0-3 Months,84
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Day Case,Child,0-15,  3-6 Months,54
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Day Case,Child,0-15,  6-9 Months,26
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Day Case,Child,0-15,  9-12 Months,55
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Day Case,Child,0-15, 12-15 Months,34
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Day Case,Child,0-15, 15-18 Months,31
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Day Case,Child,0-15,18+ Months,172
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Day Case,Child,16-64,  0-3 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Day Case,Child,16-64,  3-6 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Day Case,Child,16-64,  9-12 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Day Case,Child,16-64, 15-18 Months,5
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Day Case,Child,16-64,18+ Months,12
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Inpatient,Child,0-15,  0-3 Months,7
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Inpatient,Child,0-15,  3-6 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Inpatient,Child,0-15,  9-12 Months,5
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Inpatient,Child,0-15,18+ Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Inpatient,Child,16-64,  9-12 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,0-15,  0-3 Months,123
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,0-15,  3-6 Months,86
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,0-15,  6-9 Months,43
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,0-15,  9-12 Months,26
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,0-15, 12-15 Months,15
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,0-15, 15-18 Months,12
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,0-15,18+ Months,13
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,16-64,  0-3 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,16-64,  3-6 Months,8
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,16-64,  6-9 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,16-64,  9-12 Months,8
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,16-64, 15-18 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Day Case,Child,16-64,18+ Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Inpatient,Child,0-15,  0-3 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Inpatient,Child,0-15, 15-18 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Inpatient,Child,16-64,  9-12 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  0-3 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  3-6 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  9-12 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1910,Paed Metabolic Medicine,Inpatient,Child,0-15,  0-3 Months,3
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1910,Paed Metabolic Medicine,Inpatient,Child,0-15,  6-9 Months,3
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1910,Paed Metabolic Medicine,Inpatient,Child,0-15,  9-12 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Day Case,Child,0-15,  0-3 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Day Case,Child,0-15,  3-6 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15,  0-3 Months,68
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15,  3-6 Months,75
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15,  6-9 Months,71
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15,  9-12 Months,39
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15, 12-15 Months,20
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15, 15-18 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  0-3 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  3-6 Months,3
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  6-9 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  9-12 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64, 12-15 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64, 15-18 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,0-15,  0-3 Months,39
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,0-15,  3-6 Months,14
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,0-15,  6-9 Months,16
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,0-15,  9-12 Months,5
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,0-15, 12-15 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,0-15, 15-18 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,0-15,18+ Months,7
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,16-64,  3-6 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,16-64,  6-9 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,16-64, 15-18 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Day Case,Child,16-64,18+ Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Inpatient,Child,0-15,  0-3 Months,5
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Inpatient,Child,0-15,  3-6 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Inpatient,Child,0-15,  6-9 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Inpatient,Child,0-15,  9-12 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Inpatient,Child,0-15, 12-15 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2003,Maxillo-Facial,Day Case,Child,0-15,  0-3 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2003,Maxillo-Facial,Day Case,Child,0-15,  3-6 Months,3
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2003,Maxillo-Facial,Day Case,Child,0-15,  6-9 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2003,Maxillo-Facial,Day Case,Child,0-15, 12-15 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2003,Maxillo-Facial,Inpatient,Child,0-15,  0-3 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2003,Maxillo-Facial,Inpatient,Child,0-15,  9-12 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2003,Maxillo-Facial,Inpatient,Child,0-15, 15-18 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2200,Radiology,Day Case,Child,0-15,  0-3 Months,6
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2200,Radiology,Day Case,Child,0-15,  3-6 Months,6
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2200,Radiology,Day Case,Child,0-15,  6-9 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2200,Radiology,Day Case,Child,0-15,  9-12 Months,3
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2200,Radiology,Day Case,Child,0-15, 15-18 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2200,Radiology,Day Case,Child,0-15,18+ Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2400,Respiratory Medicine,Day Case,Child,0-15,  0-3 Months,6
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2400,Respiratory Medicine,Day Case,Child,0-15,  3-6 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2400,Respiratory Medicine,Day Case,Child,0-15,  6-9 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2400,Respiratory Medicine,Day Case,Child,0-15, 12-15 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2400,Respiratory Medicine,Day Case,Child,0-15, 15-18 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2400,Respiratory Medicine,Day Case,Child,16-64,  0-3 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2400,Respiratory Medicine,Inpatient,Child,0-15,  0-3 Months,110
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2400,Respiratory Medicine,Inpatient,Child,0-15,  3-6 Months,97
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2400,Respiratory Medicine,Inpatient,Child,0-15,  6-9 Months,54
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2400,Respiratory Medicine,Inpatient,Child,0-15,  9-12 Months,29
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2400,Respiratory Medicine,Inpatient,Child,0-15, 12-15 Months,24
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2400,Respiratory Medicine,Inpatient,Child,0-15, 15-18 Months,15
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2400,Respiratory Medicine,Inpatient,Child,0-15,18+ Months,18
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2400,Respiratory Medicine,Inpatient,Child,16-64,  0-3 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2400,Respiratory Medicine,Inpatient,Child,16-64,  3-6 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2400,Respiratory Medicine,Inpatient,Child,16-64,  6-9 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2400,Respiratory Medicine,Inpatient,Child,16-64,  9-12 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2400,Respiratory Medicine,Inpatient,Child,16-64, 12-15 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Day Case,Child,0-15,  0-3 Months,15
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Day Case,Child,0-15,  3-6 Months,7
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Day Case,Child,0-15,  6-9 Months,9
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Day Case,Child,0-15,  9-12 Months,6
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Day Case,Child,0-15, 12-15 Months,6
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Day Case,Child,0-15, 15-18 Months,5
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Day Case,Child,0-15,18+ Months,6
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Day Case,Child,16-64,  0-3 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Day Case,Child,16-64,  3-6 Months,3
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Day Case,Child,16-64,  6-9 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Day Case,Child,16-64,  9-12 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Day Case,Child,16-64, 12-15 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Day Case,Child,16-64,18+ Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Inpatient,Child,0-15, 12-15 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Inpatient,Child,0-15, 15-18 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Inpatient,Child,16-64,  3-6 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2600,General Surgery,Day Case,Child,0-15,  0-3 Months,28
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2600,General Surgery,Day Case,Child,0-15,  3-6 Months,21
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2600,General Surgery,Day Case,Child,0-15,  6-9 Months,12
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2600,General Surgery,Day Case,Child,0-15,  9-12 Months,7
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2600,General Surgery,Day Case,Child,0-15, 12-15 Months,9
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2600,General Surgery,Day Case,Child,0-15, 15-18 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2600,General Surgery,Day Case,Child,0-15,18+ Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,2600,General Surgery,Inpatient,Child,0-15,  0-3 Months,9
